Pattern No.,Sub-category,new,example or explain for the patterns,color
MC.O.1,Orientatie,GENERAL_INSTRUCTION/RUBRIC -> (NAVIGATION*) -> RELEVANT_READING,"After reading the general instruction page, learners read through the catalog to get a overview of what topics they need to learn, then read some pages",#A6CEE3
MC.O.2,Orientatie,GENERAL_INSTRUCTION/RUBRIC -> (GENERAL_INSTRUCTION/RUBRIC),"Learners read general instruction and then check the rubir for essay, or the other way round",#A6CEE3
MC.O.3,Orientatie,GENERAL_INSTRUCTION/RUBRIC <-> EDIT_ANNOTATION,Learners read the general instruction and create/edit annotations during reading,#A6CEE3
MC.O.4,Orientatie,GENERAL_INSTRUCTION/RUBRIC <-> NAVIGATION,Learners read the general instruction and navigate through pages during reading instruction,#A6CEE3
MC.P.1,Plannen,PLANNER -> (NAVIGATION*) -> RELEVANT_READING,"Learners make plan or check plan using planner tool, then navigate to read something",#1F78B4
MC.P.2,Plannen,GENERAL_INSTRUCTION/RUBRIC <-> PLANNER* (during first 15mins),Learners open planner tool and make personal plan after reading instruction,#1F78B4
MC.P.3,Plannen,PLANNER* (during first 15mins),Learners open planner tool and make personal plan in the first 15 mins,#1F78B4
MC.P.4,Plannen,SEARCH_CONTENT*,Learners search certain contents according to instruction and plan.,#1F78B4
MC.E.1,Evaluatie,READING -> (NAVIGATION*) -> GENERAL_INSTRUCTION*/RUBRIC*/READ_ANNOTATION* -> (NAVIGATION*) -> READING,"Learners check instruction/rubric when they run into read some irrelevant pages then move on to read some relevant pages, which showed evaluation pattern of these irrelevant materials",#33A02C
MC.E.2,Evaluatie,OPEN_ESSAY -> (NAVIGATION*) -> GENERAL_INSTRUCTION*/RUBRIC*/READ_ANNOTATION* -> (NAVIGATION*) -> READING/WRITE_ESSAY,"Learners check instruction/rubric when they read their own writing then move on to wirte or read something else, which showed evaluation pattern of these writing",#33A02C
MC.M.1,Monitoren,NAVIGATION <-> READ_ANNOTATION,Learners read previous notes during navigation,#B2DF8A
MC.M.2,Monitoren,GENERAL_INSTRUCTION/RUBRIC <-> PLANNER*  (after the first 15mins),Learners check of progress according to instruction and plan.,#B2DF8A
MC.M.3,Monitoren,WRITE_ESSAY/OPEN_ESSAY <-> PLANNER/GENERAL_INSTRUCTION/RUBRIC (after the first 15mins),"Check planner, during writing the essay, to monitor if there is enough time to finish the essay",#B2DF8A
MC.M.4,Monitoren,TIMER*,Learners check timer during reading or writing as monitoring the learning time,#B2DF8A
MC.M.5,Monitoren,PLANNER* (after the first 15mins),Learners open planner tool and check or change personal plan after the first 15 mins,#B2DF8A
MC.M.6,Monitoren,SEARCH_ANNOTATION*,Learners search certain annotations,#B2DF8A
MC.M.7,Monitoren,READ_ANNOTATION*,Learners read certain annotations,#B2DF8A
MC.M.8,Monitoren,OPEN_ESSAY -> READING,Learners read certain annotations,#B2DF8A
LC.F.1,Lezen,(IR)RELEVANT_READING -> EDIT_ANNOTATION* -> (IR) RELEVANT_READING,Learners read and highlight new learning materials,#E31A1C
LC.F.2,Lezen,(IR)RELEVANT_READING -> (NAVIGATION*) -> (IR)RELEVANT_READING,Learners read something new and then nagvigate to next page to continue reading,#E31A1C
LC.F.4,Lezen,(IR)RELEVANT_READING <-> EDIT_ANNOTATION/READ_ANNOTATION,"During reading, learners take notes or highlight something, also they might read their notes or highlight",#E31A1C
LC.F.5,Lezen,(IR)RELEVANT_READING <-> (IR)RELEVANT_READING,Learners read several pages continuously,#E31A1C
LC.F.6,Lezen,IRRELEVANT_READING -> (IRRELEVANT_READING),Learners read new irrelevant learning materials,#E31A1C
LC.F.7,Lezen,RELEVANT_READING -> (RELEVANT_READING),Learners read new relevant learning materials for some mins,#E31A1C
LC.R.1,Herlezen,RELEVANT_RE-READING -> (RELEVANT_RE-READING),Learners review some relevant learning materials they have been reading before,#FB9A99
LC.R.2,Herlezen,IRRELEVANT_RE-READING -> (IRRELEVANT_RE-READING),Learners review some irrelevant learning materials they have been reading before,#FB9A99
HC.EO.1,Schrijven,(IR)RELEVANT_RE-READING -> (NAVIGATION*) -> WRITE_ESSAY -> (WRITE_ESSAY),"After re-reading some learning materials, learners write their essay",#FF7F00
HC.EO.2,Schrijven,GENERAL_INSTRUCTION/RUBRIC -> (NAVIGATION*) -> WRITE_ESSAY -> (WRITE_ESSAY),"After reading the rubric, learners write their essay",#FF7F00
HC.EO.3,Schrijven,WRITE_ESSAY -> (WRITE_ESSAY),Learners write the essay continuously,#FF7F00
HC.EO.4,Verwerking / Organisatie,WRITE_ESSAY/OPEN_ESSAY <-> READ_ANNOTATION,"During writing the essay, learners read their highlights or notes",#FDBF6F
HC.EO.5,Verwerking / Organisatie,LABEL_ANNOTATION*,Learners create or choose label for the highlights they made during learning,#FDBF6F
HC.EO.6,Verwerking / Organisatie,EDIT_ANNOTATION*,Learners take notes during learning,#FDBF6F
ESSAY_TASK_START,ESSAY_TASK_START,,,#FFFFFF
NO_PATTERN,NO_PATTERN,,,#FFFFFF
